Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BRYAT.IS,BRYAT.IS,BRYAT.IS,BRYAT.IS,BRYAT.IS,BRYAT.IS
Date,,,,,,
2020-01-02,56.18142318725586,60.900001525878906,62.95000076293945,60.20000076293945,61.75,32575.0
2020-01-03,53.18323516845703,57.650001525878906,60.0,56.0,60.0,41555.0
2020-01-06,53.13710403442383,57.599998474121094,60.0,55.900001525878906,56.25,49428.0
2020-01-07,60.0098762512207,65.05000305175781,68.30000305175781,58.099998474121094,58.099998474121094,187154.0
2020-01-08,63.83831787109375,69.19999694824219,76.5,60.0,65.0,327977.0
2020-01-09,69.18893432617188,75.0,76.0,70.1500015258789,71.19999694824219,229849.0
2020-01-10,73.38640594482422,79.55000305175781,81.0,77.55000305175781,77.55000305175781,217370.0
2020-01-13,70.98784637451172,76.94999694824219,80.94999694824219,75.69999694824219,80.55000305175781,125001.0
2020-01-14,69.0966796875,74.9000015258789,77.4000015258789,72.9000015258789,77.3499984741211,113951.0
2020-01-15,72.00262451171875,78.05000305175781,80.0,73.0,74.3499984741211,199751.0
2020-01-16,68.68154907226562,74.44999694824219,79.94999694824219,73.19999694824219,79.44999694824219,80544.0
2020-01-17,68.86605834960938,74.6500015258789,79.0,73.0,75.80000305175781,70370.0
2020-01-20,69.00443267822266,74.80000305175781,76.6500015258789,74.0,74.8499984741211,26707.0
2020-01-21,69.60407257080078,75.44999694824219,77.5,74.0,75.0,49067.0
2020-01-22,70.15757751464844,76.05000305175781,78.25,74.94999694824219,75.69999694824219,81974.0
2020-01-23,69.23506927490234,75.05000305175781,77.25,74.25,75.75,43117.0
2020-01-24,68.1741714477539,73.9000015258789,76.30000305175781,73.5999984741211,76.25,47067.0
2020-01-27,67.80516052246094,73.5,77.3499984741211,71.69999694824219,72.69999694824219,90723.0
2020-01-28,66.88264465332031,72.5,74.9000015258789,71.0,73.5,26720.0
2020-01-29,67.11328125,72.75,74.25,72.0999984741211,73.0,25407.0
2020-01-30,64.89922332763672,70.3499984741211,72.25,68.44999694824219,72.25,35130.0
2020-01-31,64.66859436035156,70.0999984741211,71.8499984741211,69.5,71.05000305175781,18183.0
2020-02-03,63.746070861816406,69.0999984741211,70.94999694824219,64.25,70.0,34997.0
2020-02-04,66.60588836669922,72.19999694824219,73.19999694824219,69.6500015258789,71.0999984741211,37132.0
2020-02-05,67.20552062988281,72.8499984741211,75.0,71.5,73.25,31263.0
2020-02-06,66.05237579345703,71.5999984741211,73.94999694824219,70.94999694824219,73.0999984741211,29806.0
2020-02-07,64.66859436035156,70.0999984741211,71.69999694824219,70.0,71.4000015258789,15269.0
2020-02-10,61.9932861328125,67.19999694824219,71.5,64.55000305175781,71.5,30461.0
2020-02-11,62.639060974121094,67.9000015258789,68.94999694824219,65.69999694824219,68.94999694824219,13782.0
2020-02-12,61.43977737426758,66.5999984741211,68.0,66.05000305175781,67.9000015258789,20549.0
2020-02-13,61.39365005493164,66.55000305175781,67.0,65.94999694824219,66.6500015258789,12110.0
2020-02-14,61.808780670166016,67.0,71.5,66.19999694824219,66.5999984741211,63060.0
2020-02-17,61.16302490234375,66.30000305175781,67.05000305175781,66.0,67.05000305175781,24762.0
2020-02-18,59.77924728393555,64.80000305175781,66.25,63.75,66.25,14113.0
2020-02-19,58.11870574951172,63.0,64.5999984741211,62.25,64.5999984741211,16735.0
2020-02-20,55.35115051269531,60.0,63.150001525878906,59.0,62.349998474121094,25407.0
2020-02-21,56.04304122924805,60.75,62.0,58.0,59.95000076293945,11041.0
2020-02-24,54.705387115478516,59.29999923706055,62.70000076293945,58.0,59.5,13724.0
2020-02-25,56.04304122924805,60.75,61.25,57.650001525878906,60.0,56729.0
2020-02-26,67.25164794921875,72.9000015258789,72.9000015258789,59.0,59.0,210936.0
2020-02-27,63.100318908691406,68.4000015258789,83.1500015258789,67.0,79.0,710110.0
2020-02-28,56.734928131103516,61.5,66.5999984741211,54.45000076293945,55.5,141244.0
2020-03-02,64.57633972167969,70.0,73.80000305175781,63.0,64.4000015258789,171433.0
2020-03-03,65.72948455810547,71.25,76.0999984741211,70.75,71.80000305175781,139284.0
2020-03-04,60.88626480102539,66.0,72.5,65.80000305175781,71.55000305175781,77099.0
2020-03-05,62.73130798339844,68.0,72.25,66.5,66.5,122813.0
2020-03-06,60.05599594116211,65.0999984741211,69.5999984741211,63.900001525878906,67.5,55226.0
2020-03-09,55.2588996887207,59.900001525878906,66.0,58.099998474121094,62.0,96201.0
2020-03-10,51.937828063964844,56.29999923706055,63.20000076293945,56.29999923706055,62.5,70399.0
2020-03-11,51.937828063964844,56.29999923706055,56.29999923706055,56.29999923706055,56.29999923706055,0.0
2020-03-12,41.513362884521484,45.0,49.959999084472656,42.0,47.20000076293945,34974.0
2020-03-13,45.64624786376953,49.47999954223633,50.0,43.5,43.5,31650.0
2020-03-16,41.10745620727539,44.560001373291016,47.47999954223633,44.560001373291016,47.47999954223633,13575.0
2020-03-17,40.73844528198242,44.15999984741211,44.31999969482422,40.119998931884766,42.47999954223633,21949.0
2020-03-18,40.904502868652344,44.34000015258789,47.0,42.63999938964844,43.5,12567.0
2020-03-19,40.8306999206543,44.2599983215332,45.119998931884766,40.400001525878906,42.34000015258789,8526.0
2020-03-20,41.95616912841797,45.47999954223633,45.70000076293945,44.040000915527344,45.0,7286.0
2020-03-23,41.01519775390625,44.459999084472656,44.70000076293945,42.20000076293945,43.31999969482422,4774.0
2020-03-24,45.14808654785156,48.939998626708984,48.939998626708984,45.099998474121094,45.099998474121094,28420.0
2020-03-25,49.63153076171875,53.79999923706055,53.79999923706055,48.939998626708984,49.040000915527344,34271.0
2020-03-26,51.8455810546875,56.20000076293945,56.5,51.20000076293945,52.04999923706055,31786.0
2020-03-27,48.24775314331055,52.29999923706055,56.0,51.29999923706055,55.45000076293945,57425.0
2020-03-30,47.23298263549805,51.20000076293945,52.45000076293945,50.04999923706055,50.04999923706055,38089.0
2020-03-31,47.74037170410156,51.75,52.5,50.150001525878906,51.150001525878906,82611.0
2020-04-01,47.279109954833984,51.25,54.400001525878906,50.20000076293945,50.650001525878906,95566.0
2020-04-02,46.264339447021484,50.150001525878906,52.0,49.52000045776367,52.0,26110.0
2020-04-03,45.14808654785156,48.939998626708984,50.54999923706055,48.65999984741211,50.54999923706055,38199.0
2020-04-06,47.023223876953125,49.380001068115234,50.20000076293945,47.84000015258789,49.5,50103.0
2020-04-07,47.270809173583984,49.63999938964844,52.45000076293945,49.2400016784668,51.29999923706055,133624.0
2020-04-08,47.40413284301758,49.779998779296875,50.45000076293945,48.02000045776367,49.880001068115234,32885.0
2020-04-09,51.756011962890625,54.349998474121094,54.349998474121094,50.45000076293945,50.70000076293945,66483.0
2020-04-10,54.70806121826172,57.45000076293945,59.75,55.599998474121094,58.5,258282.0
2020-04-13,56.70783233642578,59.54999923706055,63.0,55.099998474121094,56.04999923706055,203359.0
2020-04-14,55.946014404296875,58.75,62.0,57.95000076293945,61.45000076293945,103360.0
2020-04-15,51.99407958984375,54.599998474121094,59.45000076293945,53.54999923706055,59.20000076293945,56365.0
2020-04-16,54.75567626953125,57.5,59.95000076293945,53.099998474121094,54.650001525878906,198426.0
2020-04-17,55.469879150390625,58.25,60.0,57.099998474121094,60.0,119379.0
2020-04-20,55.2318115234375,58.0,59.45000076293945,57.599998474121094,58.29999923706055,39676.0
2020-04-21,54.85089874267578,57.599998474121094,58.20000076293945,56.04999923706055,58.0,32544.0
2020-04-22,55.374656677246094,58.150001525878906,59.5,57.04999923706055,57.25,95200.0
2020-04-24,55.2318115234375,58.0,59.95000076293945,56.650001525878906,57.70000076293945,91467.0
2020-04-27,57.32680892944336,60.20000076293945,61.54999923706055,58.599998474121094,58.79999923706055,89905.0
2020-04-28,57.56488037109375,60.45000076293945,63.5,59.650001525878906,61.099998474121094,126079.0
2020-04-29,60.80260467529297,63.849998474121094,64.5,61.0,61.70000076293945,104296.0
2020-04-30,60.27885818481445,63.29999923706055,67.5,61.0,66.0,121888.0
2020-05-04,55.80317306518555,58.599998474121094,61.0,58.0,60.75,134144.0
2020-05-05,55.99362564086914,58.79999923706055,60.0,56.650001525878906,59.5,73970.0
2020-05-06,55.70794677734375,58.5,60.95000076293945,58.20000076293945,58.95000076293945,77956.0
2020-05-07,55.70794677734375,58.5,59.79999923706055,57.599998474121094,58.29999923706055,69534.0
2020-05-08,55.89840316772461,58.70000076293945,62.099998474121094,58.54999923706055,58.75,113098.0
2020-05-11,57.612491607666016,60.5,62.45000076293945,58.900001525878906,59.150001525878906,135930.0
2020-05-12,59.18375015258789,62.150001525878906,63.29999923706055,60.599998474121094,60.599998474121094,130805.0
2020-05-13,60.850215911865234,63.900001525878906,65.1500015258789,62.25,63.95000076293945,217355.0
2020-05-14,58.707611083984375,61.650001525878906,64.1500015258789,60.5,63.29999923706055,152324.0
2020-05-15,59.32658386230469,62.29999923706055,63.70000076293945,62.04999923706055,62.29999923706055,95382.0
2020-05-18,65.23066711425781,68.5,68.5,63.599998474121094,64.0,416594.0
2020-05-20,62.65953826904297,65.80000305175781,71.75,65.25,70.05000305175781,279684.0
2020-05-21,62.70714569091797,65.8499984741211,69.6500015258789,65.0,65.5,188649.0
2020-05-22,61.80249786376953,64.9000015258789,67.6500015258789,64.19999694824219,64.19999694824219,75572.0
2020-05-27,63.23090744018555,66.4000015258789,68.0999984741211,66.0,68.0,86396.0
2020-05-28,63.23090744018555,66.4000015258789,66.94999694824219,65.19999694824219,66.80000305175781,97889.0
2020-05-29,64.70692443847656,67.94999694824219,69.5999984741211,65.5999984741211,66.30000305175781,230504.0
2020-06-01,66.44012451171875,68.19999694824219,69.6500015258789,67.5,68.0,71123.0
2020-06-02,68.68077087402344,70.5,71.44999694824219,68.30000305175781,68.5,186433.0
2020-06-03,68.29109191894531,70.0999984741211,71.19999694824219,69.19999694824219,70.4000015258789,145156.0
2020-06-04,67.5604476928711,69.3499984741211,70.0999984741211,68.19999694824219,69.75,148659.0
2020-06-05,68.43722534179688,70.25,70.3499984741211,68.25,68.75,91612.0
2020-06-08,69.1678695678711,71.0,74.44999694824219,70.05000305175781,73.0,348819.0
2020-06-09,67.90141296386719,69.69999694824219,72.19999694824219,69.30000305175781,72.0,113049.0
2020-06-10,67.80399322509766,69.5999984741211,71.44999694824219,69.3499984741211,70.0,122474.0
2020-06-11,66.82980346679688,68.5999984741211,69.9000015258789,67.0999984741211,69.1500015258789,61873.0
2020-06-12,66.14787292480469,67.9000015258789,68.4000015258789,66.6500015258789,66.6500015258789,45892.0
2020-06-15,65.27108764648438,67.0,68.69999694824219,66.69999694824219,67.0,101144.0
2020-06-16,66.39141845703125,68.1500015258789,70.0,67.0999984741211,67.55000305175781,168178.0
2020-06-17,67.07334899902344,68.8499984741211,69.75,68.0999984741211,68.1500015258789,141336.0
